                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97681,                0.64777,                 1.1006,                0.93977,                0.94567,                0.98502,                 0.8269,                0.58987,                 0.4837,                0.97568,              0.0016733,              0.0016733,              0.0016733
                     36,                0.91692,                0.60198,                 1.0683,                0.94092,                0.96532,                0.97807,                0.83213,                 0.5534,                0.41429,                0.95732,              0.0016634,              0.0016634,              0.0016634
                     37,                0.96469,                0.59733,                  1.077,                0.94911,                0.84778,                0.95256,                 0.8283,                0.52994,                0.50299,                0.95384,              0.0016535,              0.0016535,              0.0016535
                     38,                0.94059,                0.58403,                 1.0791,                0.97169,                0.90909,                0.96918,                0.83266,                0.54498,                0.46525,                0.94189,              0.0016436,              0.0016436,              0.0016436
                     39,                0.87817,                0.57246,                 1.0663,                0.96683,                0.88328,                 0.9732,                0.84734,                0.54985,                0.49931,                0.93591,              0.0016337,              0.0016337,              0.0016337
                     40,                0.90074,                0.57979,                 1.0683,                 0.9798,                0.89394,                0.94925,                0.81985,                0.54552,                0.48061,                0.93072,              0.0016238,              0.0016238,              0.0016238
                     41,                0.90306,                0.58031,                 1.0731,                0.92011,                0.86364,                0.94411,                 0.8064,                0.57452,                0.47708,                0.96645,              0.0016139,              0.0016139,              0.0016139
                     42,                0.91275,                0.56447,                  1.061,                0.98428,                0.94875,                 0.9876,                0.86175,                0.50122,                0.42327,                0.92283,               0.001604,               0.001604,               0.001604
                     43,                 0.9538,                0.60289,                  1.069,                0.89987,                0.95318,                0.96683,                0.82438,                0.57439,                0.47771,                 0.9564,              0.0015941,              0.0015941,              0.0015941
                     44,                0.93342,                0.57725,                 1.0703,                0.91266,                0.95001,                0.97002,                0.82509,                0.53927,                0.43144,                0.92964,              0.0015842,              0.0015842,              0.0015842
                     45,                0.89209,                0.55646,                 1.0561,                 0.9274,                0.93939,                0.97155,                0.87225,                0.49856,                0.54265,                 0.9218,              0.0015743,              0.0015743,              0.0015743
                     46,                0.87874,                0.54738,                 1.0551,                0.78584,                0.89394,                0.91062,                0.71905,                 0.6481,                0.58167,                 1.0023,              0.0015644,              0.0015644,              0.0015644
                     47,                 0.9118,                  0.567,                 1.0511,                0.95316,                0.92508,                0.98299,                0.85405,                0.52356,                0.44455,                0.91793,              0.0015545,              0.0015545,              0.0015545
                     48,                0.88955,                0.53897,                 1.0534,                0.96587,                 0.9697,                0.98981,                0.88395,                0.49989,                0.37598,                0.91589,              0.0015446,              0.0015446,              0.0015446
                     49,                 0.8782,                0.53199,                 1.0436,                0.92744,                      1,                0.99022,                0.85933,                0.52312,                0.39395,                0.91412,              0.0015347,              0.0015347,              0.0015347
                     50,                0.91411,                0.55385,                 1.0644,                0.97015,                0.95455,                0.99038,                0.86032,                0.53394,                0.40524,                 0.9135,              0.0015248,              0.0015248,              0.0015248
                     51,                0.85933,                0.52337,                 1.0415,                 0.9571,                0.92424,                0.97934,                 0.8489,                0.52372,                0.45183,                0.92459,              0.0015149,              0.0015149,              0.0015149
                     52,                0.89453,                0.54584,                 1.0493,                0.92179,                0.87879,                0.95914,                0.82399,                0.54481,                0.46191,                0.94528,               0.001505,               0.001505,               0.001505
                     53,                0.86309,                0.54922,                 1.0495,                0.95049,                0.83333,                0.95168,                0.83251,                0.52233,                0.46571,                0.90189,              0.0014951,              0.0014951,              0.0014951
                     54,                0.84512,                0.50996,                 1.0317,                0.89469,                0.90909,                0.95974,                0.81396,                0.54575,                0.45987,                0.96166,              0.0014852,              0.0014852,              0.0014852
                     55,                0.87145,                0.51774,                 1.0428,                0.90458,                0.87879,                 0.9242,                0.77704,                0.62441,                0.46944,                0.98421,              0.0014753,              0.0014753,              0.0014753
                     56,                0.84399,                0.50449,                 1.0335,                0.84809,                0.93939,                0.95252,                0.82393,                 0.5113,                0.42021,                0.92147,              0.0014654,              0.0014654,              0.0014654
                     57,                0.81095,                0.48353,                  1.044,                0.92736,                0.98485,                0.98472,                0.87673,                0.49403,                0.36468,                0.90151,              0.0014555,              0.0014555,              0.0014555
                     58,                0.84043,                0.50356,                 1.0413,                0.96926,                 0.9697,                0.97142,                0.83238,                0.50789,                0.35673,                0.91945,              0.0014456,              0.0014456,              0.0014456
                     59,                 0.8498,                0.50363,                 1.0294,                0.97333,                0.93939,                0.98257,                0.87357,                0.48772,                0.34912,                0.92174,              0.0014357,              0.0014357,              0.0014357
                     60,                0.86572,                 0.5171,                 1.0378,                0.89543,                0.83333,                0.92293,                0.75366,                0.57254,                0.53857,                 1.0129,              0.0014258,              0.0014258,              0.0014258
                     61,                0.83712,                 0.5122,                 1.0239,                0.96467,                0.93939,                0.98446,                0.86504,                0.48268,                0.37299,                0.90069,              0.0014159,              0.0014159,              0.0014159
                     62,                0.80068,                0.48051,                 1.0146,                0.96956,                0.96539,                0.98409,                0.87857,                0.47115,                0.35136,                0.88199,               0.001406,               0.001406,               0.001406
                     63,                0.83277,                0.50133,                 1.0261,                0.96913,                0.95125,                0.98637,                0.87076,                   0.51,                 0.4063,                0.90897,              0.0013961,              0.0013961,              0.0013961
                     64,                  0.822,                0.49094,                 1.0214,                0.96766,                 0.9697,                 0.9908,                0.88137,                0.51217,                0.37701,                0.89306,              0.0013862,              0.0013862,              0.0013862
                     65,                0.79529,                0.48463,                   1.01,                      1,                0.98272,                0.99295,                 0.8867,                0.51538,                0.34883,                0.91685,              0.0013763,              0.0013763,              0.0013763
                     66,                 0.7948,                0.47925,                 1.0192,                0.90408,                0.71411,                 0.8572,                0.66258,                0.67842,                0.66165,                 1.0872,              0.0013664,              0.0013664,              0.0013664
                     67,                0.77788,                 0.4714,                 1.0124,                0.95241,                0.95455,                0.98082,                0.86055,                0.52369,                0.38321,                0.90991,              0.0013565,              0.0013565,              0.0013565
                     68,                0.81623,                0.47438,                 1.0062,                 0.9691,                0.95038,                0.98764,                0.86388,                0.49689,                0.37628,                0.90071,              0.0013466,              0.0013466,              0.0013466
                     69,                0.80793,                0.47217,                 1.0067,                0.96868,                0.93741,                0.97691,                0.86788,                0.48118,                0.40921,                0.89502,              0.0013367,              0.0013367,              0.0013367
                     70,                  0.802,                0.47633,                 1.0063,                 0.9753,                 0.9697,                0.98997,                0.87986,                0.46766,                0.37143,                0.89735,              0.0013268,              0.0013268,              0.0013268
