                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.52563,                 0.3126,                0.89658,                0.94117,                0.96961,                0.98011,                 0.8995,                0.45644,                0.33852,                0.86859,              0.0004754,              0.0004754,              0.0004754
                    157,                0.50745,                0.31318,                0.89357,                0.94263,                 0.9697,                0.97823,                0.90328,                0.44505,                0.35362,                0.86853,              0.0004655,              0.0004655,              0.0004655
                    158,                0.52513,                0.32047,                0.88886,                0.95437,                 0.9697,                0.99162,                0.90315,                0.42461,                0.28942,                0.86613,              0.0004556,              0.0004556,              0.0004556
                    159,                0.54194,                0.32659,                 0.8937,                0.98445,                0.95954,                0.98429,                 0.9123,                0.43653,                0.30804,                0.87911,              0.0004457,              0.0004457,              0.0004457
                    160,                0.53467,                0.33014,                0.90239,                0.96807,                0.95455,                0.98435,                0.90701,                0.45062,                0.29137,                0.87997,              0.0004358,              0.0004358,              0.0004358
                    161,                0.51711,                0.31234,                0.89945,                0.94235,                0.95455,                0.97949,                0.88497,                0.44592,                0.37338,                0.87815,              0.0004259,              0.0004259,              0.0004259
                    162,                0.52466,                0.31266,                0.89436,                0.94857,                0.95455,                0.97431,                0.89757,                0.45251,                0.37479,                0.87615,               0.000416,               0.000416,               0.000416
                    163,                0.52395,                0.31297,                0.89577,                0.93984,                0.95455,                0.97581,                0.89115,                0.47612,                0.41886,                0.89763,              0.0004061,              0.0004061,              0.0004061
                    164,                0.52502,                0.32227,                0.90175,                 0.9542,                0.94708,                0.98218,                0.90776,                0.47445,                0.36309,                0.87906,              0.0003962,              0.0003962,              0.0003962
                    165,                0.50951,                0.30629,                0.88938,                0.95453,                0.95429,                0.96865,                0.88595,                0.47884,                0.42945,                0.88674,              0.0003863,              0.0003863,              0.0003863
                    166,                0.52402,                0.31893,                0.90731,                 0.9842,                0.94403,                0.97128,                0.88979,                0.47936,                0.35254,                0.88565,              0.0003764,              0.0003764,              0.0003764
                    167,                0.52738,                0.32018,                0.89392,                0.96612,                0.95455,                0.97497,                0.90923,                0.44777,                 0.3455,                0.86131,              0.0003665,              0.0003665,              0.0003665
                    168,                0.50319,                0.30569,                0.89397,                0.96495,                0.95455,                0.98545,                0.91754,                0.45709,                0.32935,                0.85711,              0.0003566,              0.0003566,              0.0003566
                    169,                0.50859,                0.30875,                0.89621,                0.91525,                0.98182,                0.98588,                0.92438,                0.43416,                0.32748,                0.85198,              0.0003467,              0.0003467,              0.0003467
                    170,                0.49928,                 0.3081,                0.89086,                0.94545,                0.95455,                0.98227,                0.90618,                0.44259,                0.34797,                0.85346,              0.0003368,              0.0003368,              0.0003368
                    171,                0.49837,                0.30286,                0.89154,                0.94863,                0.95455,                0.98269,                0.90417,                0.44524,                0.36011,                0.85548,              0.0003269,              0.0003269,              0.0003269
                    172,                0.51742,                0.30643,                0.88665,                0.96917,                0.95269,                0.98234,                0.90704,                  0.449,                0.39288,                0.86675,               0.000317,               0.000317,               0.000317
                    173,                0.48872,                0.30668,                0.88491,                0.96867,                0.95455,                0.98681,                0.91185,                0.45458,                0.34194,                0.86416,              0.0003071,              0.0003071,              0.0003071
                    174,                0.50315,                 0.2997,                0.89238,                0.98853,                0.95455,                0.99046,                0.91026,                0.44936,                0.29948,                0.86354,              0.0002972,              0.0002972,              0.0002972
                    175,                0.50184,                0.30482,                 0.8955,                0.98211,                0.95455,                0.98836,                0.90239,                0.44907,                 0.3215,                0.87187,              0.0002873,              0.0002873,              0.0002873
                    176,                0.47255,                0.29581,                0.89209,                0.97199,                0.95455,                0.99047,                0.92039,                0.44439,                0.31085,                 0.8648,              0.0002774,              0.0002774,              0.0002774
                    177,                0.48716,                0.29914,                0.88731,                0.96885,                0.94266,                0.98688,                0.91019,                0.44281,                0.31441,                0.86904,              0.0002675,              0.0002675,              0.0002675
                    178,                  0.478,                 0.2934,                0.88937,                0.95178,                0.95455,                0.98436,                0.91475,                0.42843,                 0.3058,                0.85935,              0.0002576,              0.0002576,              0.0002576
                    179,                0.48853,                0.29857,                0.89074,                0.95673,                0.95455,                0.98551,                0.91859,                0.41583,                0.27526,                0.85275,              0.0002477,              0.0002477,              0.0002477
                    180,                0.49385,                0.29674,                0.89074,                 0.9762,                0.93939,                0.98286,                0.91733,                0.42186,                0.31257,                0.85959,              0.0002378,              0.0002378,              0.0002378
                    181,                0.46731,                0.28759,                0.88023,                0.96092,                0.93939,                0.98082,                 0.9156,                0.41548,                0.34287,                0.85907,              0.0002279,              0.0002279,              0.0002279
                    182,                0.49179,                0.29325,                0.88269,                0.95062,                0.95455,                0.98462,                0.91207,                0.42512,                0.34482,                0.85816,               0.000218,               0.000218,               0.000218
                    183,                 0.4627,                0.28258,                0.88342,                0.96566,                0.95455,                0.98413,                0.91607,                0.44181,                0.33061,                0.86687,              0.0002081,              0.0002081,              0.0002081
                    184,                0.47038,                0.28998,                0.87929,                0.97261,                0.93939,                0.98588,                0.91761,                0.44805,                0.31543,                0.86934,              0.0001982,              0.0001982,              0.0001982
                    185,                0.45474,                0.28494,                0.87996,                0.96911,                0.95073,                0.98482,                0.91834,                0.43857,                0.31936,                0.87116,              0.0001883,              0.0001883,              0.0001883
                    186,                0.47762,                0.29537,                0.88785,                0.95766,                0.93939,                0.98313,                0.91821,                0.43107,                0.34694,                0.87004,              0.0001784,              0.0001784,              0.0001784
                    187,                 0.4701,                0.29331,                0.88498,                0.95789,                0.95455,                0.98375,                0.92165,                0.43359,                0.35424,                0.86855,              0.0001685,              0.0001685,              0.0001685
                    188,                0.47146,                0.29146,                0.88435,                0.95591,                0.95455,                0.98254,                0.91193,                0.44066,                0.40467,                0.87779,              0.0001586,              0.0001586,              0.0001586
                    189,                0.47351,                0.28777,                0.88099,                0.95659,                0.95455,                0.98465,                0.91402,                0.42509,                0.36699,                0.86538,              0.0001487,              0.0001487,              0.0001487
                    190,                0.45899,                0.28116,                0.88006,                0.95285,                0.95455,                0.98464,                0.91234,                0.42874,                0.36274,                0.86518,              0.0001388,              0.0001388,              0.0001388
